SF,Distancia,RSSI,SNR,PDR,Autonomia_Horas,Delta_Tiempo_ms
SF9,600,-104.0,-8.0,71.4,81.1,2497.3447265625
SF9,600,-104.0,-9.0,75.0,81.1,2497.337158203125
SF9,600,-104.0,-8.0,77.8,81.1,2501.6962890625
SF9,600,-104.0,-12.0,80.0,81.1,2519.64404296875
SF9,600,-104.0,-13.0,81.8,81.1,2495.114501953125
SF9,600,-105.0,-15.0,58.8,81.1,15006.604248046875
SF9,600,-104.0,-15.0,57.9,81.1,4997.585205078125
SF9,600,-104.0,-15.0,54.5,81.1,7500.376220703125
SF9,600,-105.0,-15.0,52.0,81.1,7507.673583984375
SF9,600,-105.0,-11.0,53.8,81.1,2504.50439453125
SF9,600,-104.0,-12.0,55.6,81.1,2498.948974609375
SF9,600,-104.0,-13.0,57.1,81.1,2500.86767578125
SF9,600,-104.0,-12.0,48.6,81.1,17511.91796875
SF9,600,-104.0,-14.0,50.0,81.1,2508.552734375
SF9,600,-104.0,-11.0,51.4,81.1,2490.98193359375
SF9,600,-103.0,-14.0,52.6,81.1,2499.460693359375
SF9,600,-105.0,-11.0,50.0,81.1,10006.270751953125
SF9,600,-105.0,-13.0,51.2,81.1,2501.969482421875
SF9,600,-104.0,-13.0,52.3,81.1,2499.9833984375
SF9,600,-105.0,-14.0,53.3,81.1,2500.333740234375
SF12,600,-105.0,-20.0,50.0,46.9,27291.800537109375
SF12,600,-105.0,-13.0,9.1,46.9,50005.50634765625
SF12,600,-103.0,-13.0,13.0,46.9,2500.0029296875
SF12,600,-103.0,-13.0,16.7,46.9,2501.198974609375
SF12,600,-104.0,-12.0,20.0,46.9,2513.26904296875
SF12,600,-104.0,-12.0,23.1,46.9,2485.919677734375
SF12,600,-104.0,-14.0,25.9,46.9,2508.2529296875
SF12,600,-105.0,-12.0,28.6,46.9,2493.194580078125
SF12,600,-104.0,-12.0,31.0,46.9,2506.388916015625
SF12,600,-104.0,-14.0,30.3,46.9,10008.542724609375
SF12,600,-104.0,-12.0,32.4,46.9,2500.193359375
SF12,600,-104.0,-15.0,34.3,46.9,2500.95361328125
SF12,600,-104.0,-22.0,31.7,46.9,15005.60986328125
SF12,600,-104.0,-11.0,33.3,46.9,2501.363037109375
SF12,600,-105.0,-18.0,34.9,46.9,2501.88427734375
SF12,600,-104.0,-11.0,36.4,46.9,2505.908447265625
SF12,600,-104.0,-15.0,37.8,46.9,2495.295166015625
SF12,600,-104.0,-13.0,39.1,46.9,2500.990966796875
